date,pressure_index,is_extreme
2015-07-26,,False
2015-08-02,,False
2015-08-09,,False
2015-08-16,,False
2015-08-23,,False
2015-08-30,,False
2015-09-06,,False
2015-09-13,,False
2015-09-20,,False
2015-09-27,,False
2015-10-04,,False
2015-10-11,,False
2015-10-18,,False
2015-10-25,,False
2015-11-01,,False
2015-11-08,,False
2015-11-15,,False
2015-11-22,,False
2015-11-29,,False
2015-12-06,,False
2015-12-13,,False
2015-12-20,,False
2015-12-27,,False
2016-01-03,,False
2016-01-10,,False
2016-01-17,,False
2016-01-24,,False
2016-01-31,,False
2016-02-07,,False
2016-02-14,,False
2016-02-21,,False
2016-02-28,,False
2016-03-06,,False
2016-03-13,,False
2016-03-20,,False
2016-03-27,,False
2016-04-03,,False
2016-04-10,,False
2016-04-17,,False
2016-04-24,,False
2016-05-01,,False
2016-05-08,,False
2016-05-15,,False
2016-05-22,,False
2016-05-29,,False
2016-06-05,,False
2016-06-12,,False
2016-06-19,,False
2016-06-26,,False
2016-07-03,,False
2016-07-10,,False
2016-07-17,53.20512820512821,False
2016-07-24,47.79874213836478,False
2016-07-31,33.95061728395061,False
2016-08-07,36.96969696969697,False
2016-08-14,41.66666666666667,False
2016-08-21,57.30994152046784,False
2016-08-28,67.24137931034483,False
2016-09-04,49.717514124293785,False
2016-09-11,75.55555555555556,False
2016-09-18,54.0983606557377,False
2016-09-25,31.72043010752688,False
2016-10-02,57.142857142857146,False
2016-10-09,72.91666666666667,False
2016-10-16,77.43589743589745,False
2016-10-23,71.71717171717172,False
2016-10-30,70.14925373134328,False
2016-11-06,74.01960784313725,False
2016-11-13,61.35265700483092,False
2016-11-20,57.61904761904762,False
2016-11-27,59.624413145539904,False
2016-12-04,75.0,False
2016-12-11,65.75342465753424,False
2016-12-18,68.01801801801803,False
2016-12-25,65.33333333333333,False
2017-01-01,75.0,False
2017-01-08,64.5021645021645,False
2017-01-15,63.24786324786325,False
2017-01-22,62.86919831223628,False
2017-01-29,62.5,False
2017-02-05,62.96296296296296,False
2017-02-12,65.04065040650407,False
2017-02-19,65.46184738955823,False
2017-02-26,65.07936507936508,False
2017-03-05,63.529411764705884,False
2017-03-12,60.85271317829457,False
2017-03-19,58.62068965517241,False
2017-03-26,64.39393939393939,False
2017-04-02,67.79026217228464,False
2017-04-09,71.1111111111111,False
2017-04-16,84.24908424908425,False
2017-04-23,73.55072463768117,False
2017-04-30,56.63082437275986,False
2017-05-07,51.06382978723405,False
2017-05-14,52.98245614035088,False
2017-05-21,66.31944444444444,False
